IID,GID,rfunc,rparams,rseed,pathfunc,pparams,rfrac,rsize,numpaths,nodesinrunion,nodeavgfreqinrunion,transitinrunion,transitavgfreqinrunion,edgesinrunion,edgeavgfreqinrunion,edgemedfreqinrunion
I_2013-10-08_60,G_2013-10-08_3,rpermute,{'rfrac': 0.45},-3070022994144711529,shortestpaths,{},0.464285714286,13,95,25,23.12,22,12.0909090909,44,9.59090909091,8.0
I_2013-10-08_61,G_2013-10-08_3,rpermute,{'rfrac': 0.5},-4943069016192627745,shortestpaths,{},0.5,14,102,21,28.8571428571,19,12.7368421053,37,11.4594594595,10
I_2013-10-08_62,G_2013-10-08_3,rpermute,{'rfrac': 0.5},3551479599131378927,shortestpaths,{},0.5,14,106,25,26.24,22,13.2727272727,45,10.5333333333,10
I_2013-10-08_63,G_2013-10-08_3,rpermute,{'rfrac': 0.5},8400789078512918011,shortestpaths,{},0.5,14,107,25,26.4,20,14.8,45,10.6222222222,9
I_2013-10-08_64,G_2013-10-08_4,rpermute,{'rfrac': 0.2},6208389413007189781,shortestpaths,{},0.193548387097,6,21,18,5.11111111111,13,2.46153846154,30,2.06666666667,2.0
I_2013-10-08_65,G_2013-10-08_4,rpermute,{'rfrac': 0.2},451664723656896574,shortestpaths,{},0.193548387097,6,19,14,7.71428571429,9,5.33333333333,19,4.10526315789,3
I_2013-10-08_66,G_2013-10-08_4,rpermute,{'rfrac': 0.2},1075290768005153619,shortestpaths,{},0.193548387097,6,19,17,5.88235294118,11,3.63636363636,25,2.8,2
I_2013-10-08_67,G_2013-10-08_4,rpermute,{'rfrac': 0.25},-2396407415717639511,shortestpaths,{},0.258064516129,8,30,16,12.0,10,8.0,25,5.44,4
I_2013-10-08_68,G_2013-10-08_4,rpermute,{'rfrac': 0.25},-9091556647371648726,shortestpaths,{},0.258064516129,8,37,23,8.17391304348,17,4.47058823529,41,3.21951219512,2
I_2013-10-08_69,G_2013-10-08_4,rpermute,{'rfrac': 0.25},-5047240746472571351,shortestpaths,{},0.258064516129,8,32,14,11.7142857143,10,5.2,22,4.90909090909,4.0
I_2013-10-08_70,G_2013-10-08_4,rpermute,{'rfrac': 0.3},5146847104366542463,shortestpaths,{},0.290322580645,9,40,19,13.1578947368,15,7.06666666667,31,5.74193548387,5
I_2013-10-08_71,G_2013-10-08_4,rpermute,{'rfrac': 0.3},3304790284197129347,shortestpaths,{},0.290322580645,9,45,22,10.5454545455,19,4.63157894737,39,4.10256410256,4
I_2013-10-08_72,G_2013-10-08_4,rpermute,{'rfrac': 0.3},-318810135098081085,shortestpaths,{},0.290322580645,9,40,22,11.9090909091,17,6.94117647059,35,5.42857142857,4
I_2013-10-08_73,G_2013-10-08_4,rpermute,{'rfrac': 0.35},-7735708037377279048,shortestpaths,{},0.354838709677,11,64,27,14.3703703704,21,8.0,54,5.14814814815,4.0
I_2013-10-08_74,G_2013-10-08_4,rpermute,{'rfrac': 0.35},1185750535993334256,shortestpaths,{},0.354838709677,11,66,26,13.7692307692,20,6.9,47,5.27659574468,4
I_2013-10-08_75,G_2013-10-08_4,rpermute,{'rfrac': 0.35},8958482435680856379,shortestpaths,{},0.354838709677,11,66,25,14.32,22,6.27272727273,48,5.16666666667,4.0
I_2013-10-08_76,G_2013-10-08_4,rpermute,{'rfrac': 0.4},-3860150962366067737,shortestpaths,{},0.387096774194,12,81,27,16.3703703704,21,8.47619047619,55,5.63636363636,5
I_2013-10-08_77,G_2013-10-08_4,rpermute,{'rfrac': 0.4},3788814873939290206,shortestpaths,{},0.387096774194,12,76,24,17.25,20,7.5,44,6.40909090909,4.5
I_2013-10-08_78,G_2013-10-08_4,rpermute,{'rfrac': 0.4},-2807918533730293544,shortestpaths,{},0.387096774194,12,77,23,18.6086956522,18,9.11111111111,43,6.88372093023,6
I_2013-10-08_79,G_2013-10-08_4,rpermute,{'rfrac': 0.45},7889155519482648002,shortestpaths,{},0.451612903226,14,109,27,21.8518518519,19,11.8947368421,58,7.03448275862,6.0
I_2013-10-08_80,G_2013-10-08_4,rpermute,{'rfrac': 0.45},5899954480572066434,shortestpaths,{},0.451612903226,14,100,28,21.4285714286,24,9.83333333333,55,7.6,5
I_2013-10-08_81,G_2013-10-08_4,rpermute,{'rfrac': 0.45},-3785253984263718721,shortestpaths,{},0.451612903226,14,110,29,22.0,25,10.96,53,8.60377358491,8
I_2013-10-08_82,G_2013-10-08_4,rpermute,{'rfrac': 0.5},7254035263838836962,shortestpaths,{},0.516129032258,16,139,27,29.1851851852,24,12.8333333333,56,9.78571428571,10.0
I_2013-10-08_83,G_2013-10-08_4,rpermute,{'rfrac': 0.5},7277033508279154277,shortestpaths,{},0.516129032258,16,135,23,33.2173913043,21,13.5238095238,53,9.88679245283,9
I_2013-10-08_84,G_2013-10-08_4,rpermute,{'rfrac': 0.5},4359705653788227337,shortestpaths,{},0.516129032258,16,142,29,28.7586206897,24,14.75,60,9.9,9.0
I_2013-10-08_85,G_2013-10-08_5,rpermute,{'rfrac': 0.2},2165541846619832251,shortestpaths,{},0.2,8,30,22,10.2727272727,16,7.125,30,5.66666666667,5.0
I_2013-10-08_86,G_2013-10-08_5,rpermute,{'rfrac': 0.2},4260038852303965536,shortestpaths,{},0.2,8,30,16,12.125,11,7.45454545455,21,6.57142857143,6
I_2013-10-08_87,G_2013-10-08_5,rpermute,{'rfrac': 0.2},987308552920926549,shortestpaths,{},0.2,8,32,22,10.8181818182,18,7.0,30,6.06666666667,5.5
I_2013-10-08_88,G_2013-10-08_5,rpermute,{'rfrac': 0.25},-7234956921471059507,shortestpaths,{},0.25,10,51,29,12.1379310345,26,6.61538461538,42,6.2380952381,5.5
I_2013-10-08_89,G_2013-10-08_5,rpermute,{'rfrac': 0.25},-6981371280533868374,shortestpaths,{},0.25,10,55,30,11.6666666667,25,6.8,45,5.77777777778,5
I_2013-10-08_90,G_2013-10-08_5,rpermute,{'rfrac': 0.25},-3554237193868234929,shortestpaths,{},0.25,10,53,29,12.6206896552,22,8.45454545455,44,6.27272727273,5.0
I_2013-10-08_91,G_2013-10-08_5,rpermute,{'rfrac': 0.3},3761930280385233074,shortestpaths,{},0.3,12,81,33,14.6060606061,27,8.07407407407,55,6.36363636364,5
I_2013-10-08_92,G_2013-10-08_5,rpermute,{'rfrac': 0.3},-7846295160390018633,shortestpaths,{},0.3,12,78,32,15.4375,26,8.84615384615,54,6.7037037037,5.0
I_2013-10-08_93,G_2013-10-08_5,rpermute,{'rfrac': 0.3},-6741118344233741366,shortestpaths,{},0.3,12,72,24,20.0,20,10.8,37,9.40540540541,9
I_2013-10-08_94,G_2013-10-08_5,rpermute,{'rfrac': 0.35},2615894511955488053,shortestpaths,{},0.35,14,110,33,22.2424242424,28,13.2142857143,53,10.4150943396,9
I_2013-10-08_95,G_2013-10-08_5,rpermute,{'rfrac': 0.35},-6947809659761179331,shortestpaths,{},0.35,14,104,31,21.935483871,26,12.1538461538,49,10.1632653061,10
